Rewards,Steps
1000.0,291
1000.0,273
1000.0,246
1000.0,276
0.0,37
1000.0,242
1000.0,245
1000.0,250
1000.0,275
0.0,1026
1000.0,249
1000.0,246
1000.0,274
1000.0,256
1000.0,293
1000.0,263
1000.0,311
1000.0,273
1000.0,266
1000.0,282
1000.0,221
1000.0,251
0.0,38
1000.0,267
1000.0,389
1000.0,320
1000.0,273
1000.0,272
1000.0,257
0.0,38
1000.0,264
1000.0,248
1000.0,276
1000.0,304
1000.0,259
1000.0,197
1000.0,257
1000.0,290
1000.0,253
1000.0,249
1000.0,225
1000.0,282
0.0,37
1000.0,424
1000.0,272
0.0,232
1000.0,291
1000.0,359
1000.0,251
1000.0,307
1000.0,265
1000.0,274
1000.0,252
1000.0,302
1000.0,282
1000.0,228
1000.0,408
1000.0,238
1000.0,309
0.0,47
1000.0,295
1000.0,284
1000.0,331
1000.0,268
1000.0,271
1000.0,259
1000.0,278
1000.0,236
1000.0,273
1000.0,274
1000.0,231
1000.0,248
1000.0,266
1000.0,266
1000.0,265
1000.0,254
1000.0,248
1000.0,282
1000.0,231
1000.0,281
1000.0,252
1000.0,273
1000.0,296
1000.0,483
1000.0,293
1000.0,251
1000.0,265
1000.0,256
1000.0,319
0.0,263
1000.0,279
1000.0,270
1000.0,233
1000.0,260
1000.0,426
1000.0,237
1000.0,406
1000.0,222
1000.0,232
1000.0,243
1000.0,349
1000.0,433
1000.0,259
1000.0,272
1000.0,254
1000.0,316
1000.0,233
1000.0,226
1000.0,364
0.0,171
1000.0,246
1000.0,263
1000.0,330
1000.0,267
0.0,39
0.0,283
1000.0,263
1000.0,250
1000.0,243
1000.0,308
1000.0,272
0.0,48
1000.0,257
1000.0,490
1000.0,270
1000.0,248
1000.0,258
1000.0,284
1000.0,231
1000.0,209
1000.0,271
1000.0,292
1000.0,300
1000.0,267
1000.0,221
1000.0,266
1000.0,267
1000.0,302
1000.0,282
1000.0,311
1000.0,382
1000.0,255
1000.0,285
0.0,38
1000.0,273
1000.0,234
1000.0,272
1000.0,253
1000.0,417
1000.0,333
1000.0,294
1000.0,295
0.0,280
1000.0,270
1000.0,241
1000.0,278
1000.0,245
1000.0,267
1000.0,250
1000.0,254
1000.0,285
1000.0,263
1000.0,224
1000.0,218
1000.0,278
1000.0,337
1000.0,253
1000.0,243
1000.0,286
