Rewards,Steps
1000.0,313
0.0,35
1000.0,275
1000.0,238
1000.0,264
1000.0,253
1000.0,276
1000.0,275
1000.0,216
1000.0,279
0.0,1659
0.0,1550
0.0,1574
1000.0,291
0.0,1673
1000.0,249
1000.0,271
1000.0,227
1000.0,258
1000.0,281
1000.0,265
1000.0,263
1000.0,251
1000.0,258
1000.0,252
1000.0,259
1000.0,364
1000.0,333
1000.0,269
1000.0,248
1000.0,288
1000.0,279
1000.0,329
0.0,1576
1000.0,246
1000.0,235
1000.0,372
1000.0,265
1000.0,320
1000.0,311
1000.0,460
1000.0,260
0.0,252
1000.0,269
1000.0,281
1000.0,290
1000.0,251
1000.0,272
1000.0,373
1000.0,250
1000.0,328
1000.0,283
1000.0,302
1000.0,300
1000.0,294
1000.0,256
1000.0,227
1000.0,249
1000.0,305
0.0,260
1000.0,231
1000.0,265
1000.0,288
1000.0,227
1000.0,253
0.0,50
1000.0,240
1000.0,287
1000.0,291
1000.0,266
1000.0,287
1000.0,282
1000.0,242
1000.0,254
1000.0,246
1000.0,251
1000.0,278
1000.0,290
1000.0,264
1000.0,242
1000.0,250
1000.0,253
1000.0,324
0.0,47
1000.0,273
1000.0,233
1000.0,245
1000.0,255
1000.0,231
1000.0,246
1000.0,283
1000.0,430
1000.0,238
1000.0,277
1000.0,231
1000.0,319
0.0,43
0.0,50
0.0,1491
1000.0,258
1000.0,231
1000.0,313
1000.0,238
0.0,1624
1000.0,389
1000.0,269
0.0,404
1000.0,272
1000.0,287
1000.0,268
0.0,1506
1000.0,283
1000.0,274
1000.0,267
1000.0,337
1000.0,244
1000.0,239
1000.0,269
1000.0,273
1000.0,301
1000.0,279
1000.0,279
1000.0,253
1000.0,255
1000.0,265
1000.0,312
1000.0,266
1000.0,381
1000.0,264
1000.0,255
1000.0,311
1000.0,471
1000.0,262
1000.0,268
1000.0,235
1000.0,265
1000.0,279
1000.0,241
1000.0,231
1000.0,290
1000.0,298
1000.0,278
1000.0,253
1000.0,427
1000.0,228
1000.0,244
1000.0,277
1000.0,453
1000.0,253
1000.0,266
0.0,1590
1000.0,236
1000.0,387
1000.0,244
1000.0,291
1000.0,231
1000.0,328
1000.0,258
1000.0,282
1000.0,237
1000.0,277
1000.0,314
1000.0,240
1000.0,293
1000.0,338
1000.0,261
1000.0,227
1000.0,213
